 399 
 55034   -27.25   153.20
 55035   -27.49   153.63
 55036   -27.96   153.44
 55037   -28.18   153.58
 55039   -38.50   148.18
 55040   -36.10   136.62
 56002   -19.59   116.14
 56004   -30.29   114.91
 56005   -32.11   115.40
 56006   -33.36   114.78
 56007   -21.41   114.94
 56008   -31.98   115.69
 56010   -34.00   121.90
 56011   -35.20   117.72
 56012   -21.70   114.10
 61001    43.40     7.80
 61002    42.10     4.70
 61004    42.93     6.21
 61005    43.06     9.28
 61196    41.92     3.65
 61197    39.70     4.42
 61198    36.50    -2.33
 61199    36.23    -5.03
 61208    37.52    12.53
 61209    38.26    13.33
 61211    39.45    15.92
 61212    40.62     9.89
 61213    40.55     8.11
 61214    40.87    12.95
 61215    40.97    17.38
 61216    42.24    11.55
 61217    42.41    14.54
 61218    43.83    13.72
 61219    43.93     9.83
 61220    45.33    12.52
 61280    40.77     1.47
 61281    39.52     0.21
 61417    37.65    -0.32
 61430    39.55     2.10
 61X00    39.10    24.50
 61X03    40.00    24.70
 61X05    37.50    25.50
 61X07    35.80    24.90
 61X08    36.80    21.60
 61X09    38.00    20.60
 62001    45.20    -5.00
 62023    51.40    -7.90
 62024    43.73    -3.03
 62025    43.75    -6.00
 62026    55.30     1.10
 62029    48.70   -12.40
 62042    53.06     1.11
 62044    51.57     1.58
 62045    56.19    -2.50
 62046    57.97    -3.33
 62047    56.06    -7.06
 62048    57.29    -7.91
 62052    48.50    -5.80
 62060    49.65     0.13
 62064    44.65    -1.45
 62067    46.83    -2.29
 62069    48.29    -4.97
 62074    47.29    -3.29
 62081    51.00   -13.30
 62082    44.07    -7.62
 62083    43.48    -9.22
 62084    42.12    -9.40
 62085    36.48    -6.97
 62087    54.70     6.80
 62090    53.10   -11.20
 62091    53.48    -5.43
 62092    51.20   -10.40
 62093    55.00   -10.00
 62094    51.70    -6.70
 62095    53.06   -15.92
 62103    49.90    -2.90
 62105    55.40   -12.60
 62106    57.00    -9.90
 62107    50.10    -6.10
 62108    53.50   -18.40
 62109    57.00     0.00
 62111    58.10     0.40
 62112    58.70     1.30
 62116    57.70     1.40
 62117    57.90     0.00
 62118    57.70     0.90
 62119    57.00     2.00
 62125    53.80    -3.50
 62126    53.90    -3.60
 62127    54.00     0.70
 62128    58.70     1.40
 62132    56.40     2.00
 62133    57.10     1.00
 62134    58.00     1.40
 62135    54.00    -3.80
 62142    53.00     2.10
 62143    57.70     1.80
 62144    53.40     1.70
 62145    53.10     2.80
 62146    57.10     2.10
 62149    53.70     1.10
 62152    57.00     1.80
 62153    57.30     2.00
 62162    57.40     0.50
 62163    47.50    -8.40
 62164    57.20     0.80
 62165    54.00     1.10
 62170    51.40     2.00
 62287    53.53    -3.35
 62288    50.74     0.75
 62289    53.53     1.05
 62293    54.92    -0.75
 62301    52.40    -4.70
 62303    51.50    -5.10
 62304    51.15     1.80
 62305    50.40     0.00
 62442    49.00   -16.40
 62X20    54.00    -3.43
 63055    60.60     1.70
 63056    59.50     1.60
 63057    59.20     1.50
 63103    61.20     1.10
 63108    60.80     1.70
 63110    59.50     1.50
 63112    61.10     1.00
 63113    61.00     1.70
 63115    61.60     1.30
 64041    60.70    -2.60
 64045    59.10   -11.70
 64046    60.60    -4.90
 64071    68.48    -9.26
 66021    54.88    13.87
 66022    54.10    14.20
 66024    54.70    12.70
 AUK      56.39     2.05
 BRZ01    -8.40   -34.94
 BSH01    55.00     6.33
 BSH02    54.16     7.89
 BSH03    54.00     8.12
 BSH04    54.00     6.58
 BSH05    54.92     8.22
 CNCAL    32.70   -16.70
 EURO     51.99     3.27
 FAWV1    61.77    -5.22
